arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
430.00,0.00,33.88,15.00,0.00,129.00,10.32,49.29,35.50
383.00,0.00,22.38,1.00,0.00,63.00,1.27,22.04,17.31
412.00,0.00,27.07,2.00,0.00,93.00,2.27,45.06,18.60
407.00,0.00,40.95,5.00,0.00,135.00,2.08,57.21,34.76
392.00,0.00,21.06,3.00,1.00,104.00,1.10,57.20,24.63
387.00,0.00,35.27,5.00,1.00,81.00,0.56,30.96,14.21
373.00,0.00,17.01,3.00,0.00,58.00,0.05,33.68,7.26
375.00,0.00,39.17,5.00,2.00,96.00,2.00,33.74,21.09
365.00,0.00,44.06,7.00,2.00,126.00,4.71,35.73,41.50
352.00,0.00,28.22,1.00,3.00,80.00,0.28,35.13,16.38
335.00,0.00,18.05,0.00,0.00,51.00,0.69,20.44,11.82
354.00,0.00,23.94,0.00,1.00,77.00,2.58,31.64,18.84
372.00,0.00,32.99,3.00,2.00,103.00,5.01,36.08,28.92
341.00,0.00,24.58,2.00,1.00,79.00,1.61,33.82,18.99
355.00,0.00,26.18,10.00,0.00,58.00,0.11,20.46,11.25
346.00,1.00,26.67,0.00,0.00,89.00,1.77,27.32,32.23
326.00,0.00,15.52,1.00,0.00,51.00,0.22,16.70,18.56
345.00,1.00,23.38,7.00,2.00,86.00,0.46,38.41,22.75
297.00,0.00,20.03,4.00,0.00,52.00,1.08,17.56,13.33
330.00,0.00,35.21,3.00,1.00,104.00,2.03,29.75,37.00
326.00,0.00,40.34,3.00,0.00,126.00,3.35,40.65,41.66
322.00,0.00,27.39,3.00,1.00,101.00,2.17,33.14,38.30
323.00,0.00,17.78,1.00,1.00,49.00,1.09,12.80,17.33
381.00,0.00,20.05,1.00,2.00,79.00,1.19,32.62,25.15
398.00,0.00,35.15,5.00,1.00,87.00,0.73,28.48,22.65
356.00,0.00,25.84,5.00,0.00,87.00,3.09,40.01,18.06
389.00,0.00,24.89,6.00,0.00,70.00,1.86,22.06,21.19
325.00,0.00,24.65,0.00,1.00,67.00,2.84,25.91,13.60
258.00,0.00,24.05,0.00,0.00,58.00,0.74,19.72,13.49
260.00,0.00,28.21,3.00,0.00,80.00,0.81,23.01,27.97
255.00,0.00,19.17,5.00,3.00,71.00,1.41,30.18,20.24
352.00,0.00,33.50,12.00,1.00,95.00,3.18,35.96,22.36
340.00,0.00,33.65,7.00,1.00,94.00,3.84,33.79,22.72
345.00,0.00,35.98,5.00,4.00,87.00,6.10,21.09,23.82
367.00,1.00,32.99,4.00,3.00,72.00,1.34,23.60,13.08
384.00,0.47,21.82,4.00,0.00,48.00,1.25,13.74,10.72
402.00,0.81,22.33,2.00,0.00,47.00,0.25,10.23,13.38
319.00,0.00,20.44,1.00,0.00,70.00,4.85,26.80,17.91
314.00,0.00,18.27,1.00,0.00,54.00,2.26,16.72,16.75
301.00,0.00,38.31,5.00,0.00,102.00,2.80,42.10,18.79
276.00,0.00,16.69,1.00,1.00,60.00,0.15,24.27,18.89
279.00,0.00,11.52,41.00,0.00,50.00,0.00,30.98,7.50
269.00,0.00,24.69,24.00,0.00,43.00,0.00,11.20,7.11
341.00,0.00,27.38,23.00,1.00,100.00,2.34,29.47,40.81
340.00,0.00,29.77,11.00,0.00,90.00,4.11,24.06,32.06
330.00,0.00,30.61,6.00,0.00,82.00,0.13,32.06,19.20
371.00,0.00,24.05,2.00,1.00,62.00,1.48,23.70,12.78
360.00,0.00,23.01,1.00,0.00,62.00,3.55,15.70,19.75
372.00,0.86,35.36,1.00,0.00,101.00,2.03,22.65,40.09
336.00,0.00,27.37,5.00,0.00,59.00,0.36,12.87,18.40
360.00,0.00,30.66,13.00,0.00,69.00,1.81,12.37,24.16
364.00,0.00,46.36,4.00,1.00,93.00,3.30,21.23,22.11
350.00,0.00,34.97,5.00,0.00,83.00,5.25,13.88,28.89
362.00,0.00,32.21,0.00,0.00,83.00,0.67,25.19,24.94
352.00,0.00,25.74,44.00,0.00,80.00,1.30,29.55,23.40
368.00,0.00,40.97,3.00,1.00,119.00,1.33,48.24,28.46
367.00,0.83,40.88,1.00,0.00,120.00,1.49,43.53,33.27
358.00,0.00,49.55,9.00,0.00,156.00,3.34,45.95,57.15
371.00,0.00,31.64,4.00,0.00,100.00,3.85,40.28,24.22
360.00,0.00,21.47,1.00,0.00,85.00,0.22,53.15,10.16
372.00,0.00,19.34,0.00,0.00,59.00,1.00,28.21,10.44
348.00,0.72,51.91,2.00,0.00,114.00,2.79,30.10,28.47
372.00,0.00,30.47,1.00,0.00,92.00,0.51,42.09,18.93
369.00,0.00,40.35,3.00,0.00,106.00,0.63,42.08,22.94
327.00,0.00,13.37,1.00,0.00,39.00,0.02,20.27,5.33
341.00,0.00,21.39,0.00,0.00,54.00,0.00,21.20,11.40
327.00,0.00,12.78,1.00,0.00,40.00,0.00,15.12,12.09
340.00,0.00,21.34,2.00,1.00,84.00,2.68,39.94,20.04
305.00,0.00,24.44,0.00,1.00,87.00,1.08,39.16,22.33
300.00,0.00,26.58,0.00,0.00,72.00,0.97,34.63,9.81
